,Curvature,Speed,CarPosition,Class
5201,-0.1335335075855255,156,285.0802917480469,Straight
5202,-0.10431232303380966,158,298.0494384765625,Straight
5203,-0.08406224846839905,158,308.2588195800781,Straight
5204,-0.10875246673822403,160,278.17291259765625,Straight
5205,-0.1357177197933197,161,266.9039306640625,Straight
5206,-0.019321365281939507,163,302.676513671875,Straight
5207,-0.17377136647701263,164,279.87890625,Straight
5208,-0.1609696000814438,165,263.06365966796875,Straight
5209,-0.11771367490291595,166,291.61944580078125,Straight
5210,-0.14846299588680267,168,287.77362060546875,Straight
5211,-0.04808545485138893,168,278.21832275390625,Right
5212,-0.10015010833740234,170,268.5926513671875,Right
5213,0.03841728717088699,172,289.8442077636719,Right
5214,-0.16919788718223572,172,277.1650695800781,Right
5215,-0.10068559646606445,174,266.4441833496094,Right
5216,-0.00937421154230833,175,273.2244567871094,Right
5217,-0.09980001300573349,176,273.1402282714844,Right
